final_rank,candidate_id,mean_score,assessment_score_raw,assessment_signal_scores,assessment_signal_sources,frozen_top100_rank,rank_change_vs_frozen_top100,summary_archetype,fine_static_atom,current_title,current_company,career_compounds,skill_names,integrity_risk_level,honeypot_proxy_rules
44,CAND_0020877,6.404011,0.24815,llm_finetuning:63;ml_depth:82.1;vector_hybrid_infrastructure:67.2,llm_finetuning:QLoRA;ml_depth:Kubeflow;vector_hybrid_infrastructure:Elasticsearch,54,10,applied_ml,fine_atom_00,Applied ML Engineer,CRED,production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,Deep Learning;Elasticsearch;Forecasting;Illustrator;Information Retrieval;Java;Kubeflow;LlamaIndex;Milvus;OpenSearch;PEFT;PyTorch;QLoRA;Qdrant;Statistical Modeling;Weaviate;YOLO;scikit-learn,low,
45,CAND_0047721,6.39826,0.5,ranking_recommendation_matching:82.8;retrieval_search:87.8;vector_hybrid_infrastructure:73.6,ranking_recommendation_matching:Learning to Rank;retrieval_search:BM25|Information Retrieval|RAG;vector_hybrid_infrastructure:Milvus,,,applied_ml,fine_atom_00,Senior Data Scientist,Microsoft,evaluated_ranking_system;shipper_with_evaluation_depth,BM25;Diffusion Models;FAISS;Forecasting;Image Classification;Information Retrieval;Learning to Rank;MLOps;Machine Learning;Milvus;NLP;OpenCV;Photoshop;Qdrant;RAG;Redux;Salesforce CRM,none,
46,CAND_0055992,6.394686,0.236417,retrieval_search:87.1;vector_hybrid_infrastructure:51.2,retrieval_search:Information Retrieval|RAG;vector_hybrid_infrastructure:FAISS,55,9,applied_ml,fine_atom_00,AI Engineer,CRED,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,Accounting;Data Science;Deep Learning;Embeddings;FAISS;Feature Engineering;Fine-tuning LLMs;Information Retrieval;LangChain;MLflow;Milvus;OpenSearch;Prompt Engineering;RAG;SQL;Vue.js,low,
47,CAND_0028793,6.392554,0.249975,embeddings:88.7;ml_depth:66.8,embeddings:Embeddings;ml_depth:Kubeflow,58,11,applied_ml,fine_atom_00,Search Engineer,Google,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,Embeddings;Haystack;Information Retrieval;Kubeflow;Learning to Rank;LoRA;NLP;PEFT;PowerPoint;PyTorch;QLoRA;SAP;Weights & Biases;YOLO;pgvector,none,
48,CAND_0093912,6.390929,0.154,vector_hybrid_infrastructure:75.4,vector_hybrid_infrastructure:Milvus,39,-9,applied_ml,fine_atom_00,Senior Data Scientist,Razorpay,evaluated_ranking_system,CNN;Elasticsearch;Embeddings;FastAPI;Feature Engineering;Forecasting;Haystack;Learning to Rank;Milvus;Recommendation Systems;SAP;Sales;Vector Search,none,
49,CAND_0061265,6.381017,0.2135,vector_hybrid_infrastructure:85.4,vector_hybrid_infrastructure:Qdrant,53,4,applied_ml,fine_atom_00,Recommendation Systems Engineer,Zoho,evaluated_ranking_system,Accounting;Computer Vision;Django;Embeddings;Hugging Face Transformers;LangChain;Learning to Rank;Milvus;Object Detection;Prompt Engineering;QLoRA;Qdrant;Reinforcement Learning;SQL;Time Series;Vector Search,none,
50,CAND_0087630,6.37307,0.0795,vector_hybrid_infrastructure:65.9,vector_hybrid_infrastructure:Elasticsearch,30,-20,applied_ml,fine_atom_00,AI Engineer,Vedantu,evaluated_ranking_system;shipper_with_evaluation_depth,ASR;BM25;Data Science;Deep Learning;Elasticsearch;Embeddings;Feature Engineering;Flask;GANs;Hugging Face Transformers;Learning to Rank;NLP;OpenSearch;QLoRA;Sentence Transformers;Tally;Weights & Biases;pgvector,none,
51,CAND_0057701,6.37146,0.31855,ml_depth:69.6;python_engineering:65;vector_hybrid_infrastructure:82.9,ml_depth:Deep Learning;python_engineering:Python;vector_hybrid_infrastructure:OpenSearch|Qdrant,76,25,applied_ml,fine_atom_00,Recommendation Systems Engineer,Verloop.io,evaluated_ranking_system;shipper_with_evaluation_depth,Deep Learning;Feature Engineering;Hugging Face Transformers;Learning to Rank;Machine Learning;Milvus;OpenSearch;PEFT;Prompt Engineering;Python;Qdrant;Snowflake;TTS;TensorFlow;Time Series;TypeScript;Vue.js,low,
52,CAND_0012957,6.370985,0.1671,llm_finetuning:57.7;ml_depth:77.5;retrieval_search:57.8,llm_finetuning:PEFT;ml_depth:Deep Learning;retrieval_search:RAG,48,-4,applied_ml,fine_atom_00,Search Engineer,Razorpay,evaluated_ranking_system;shipper_with_evaluation_depth,ASR;BM25;BentoML;Deep Learning;Embeddings;Fine-tuning LLMs;LangChain;Machine Learning;OpenCV;PEFT;Python;Qdrant;RAG;Redis;Statistical Modeling,low,
53,CAND_0007009,6.369653,0.0,,,23,-30,applied_ml,fine_atom_00,Recommendation Systems Engineer,Wysa,production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,BM25;CNN;Data Science;ETL;Embeddings;Forecasting;Haystack;LLMs;Learning to Rank;LoRA;OpenSearch;PEFT;Python;QLoRA;Sentence Transformers;Statistical Modeling;Weaviate;Weights & Biases,none,
54,CAND_0054123,6.369271,0.161,python_engineering:92,python_engineering:Python,46,-8,applied_ml,fine_atom_00,Applied ML Engineer,Meta,evaluated_ranking_system;shipper_with_evaluation_depth,Fine-tuning LLMs;Hugging Face Transformers;LLMs;LangChain;Python;Qdrant;Reinforcement Learning;SEO;Semantic Search;Speech Recognition;Tailwind;Vector Search;Weaviate;Weights & Biases;pgvector,low,
55,CAND_0079284,6.368912,0.2747,llm_finetuning:64.1;python_engineering:84.2;ranking_recommendation_matching:68.9,llm_finetuning:QLoRA;python_engineering:scikit-learn;ranking_recommendation_matching:Recommendation Systems,65,10,applied_ml,fine_atom_00,Machine Learning Engineer,Google,evaluated_ranking_system;shipper_with_evaluation_depth,ASR;Elasticsearch;Feature Engineering;Fine-tuning LLMs;Illustrator;LlamaIndex;Machine Learning;NLP;Project Management;QLoRA;Qdrant;Recommendation Systems;Terraform;Weights & Biases;scikit-learn,low,
56,CAND_0056881,6.336739,0.3536,ml_depth:83.4;vector_hybrid_infrastructure:91.4,ml_depth:Hugging Face Transformers;vector_hybrid_infrastructure:Elasticsearch,96,40,applied_ml,fine_atom_00,Machine Learning Engineer,Zomato,evaluated_ranking_system;shipper_with_evaluation_depth,BentoML;Deep Learning;Elasticsearch;Excel;Hugging Face Transformers;Information Retrieval;Kubeflow;Learning to Rank;Pinecone;PyTorch;Salesforce CRM;TTS;Vector Search;scikit-learn,low,
57,CAND_0042506,6.332048,0.2349,llm_finetuning:68.9;python_engineering:73.6;retrieval_search:66.6,llm_finetuning:PEFT;python_engineering:scikit-learn;retrieval_search:Semantic Search,68,11,applied_ml,fine_atom_00,Search Engineer,Verloop.io,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,Airflow;BentoML;Deep Learning;Diffusion Models;FAISS;Fine-tuning LLMs;Forecasting;Information Retrieval;Milvus;NLP;Object Detection;OpenCV;PEFT;Qdrant;Semantic Search;TTS;TensorFlow;pgvector;scikit-learn,low,
58,CAND_0086151,6.330443,0.285825,ranking_recommendation_matching:83.7;vector_hybrid_infrastructure:69.5,ranking_recommendation_matching:Recommendation Systems;vector_hybrid_infrastructure:Qdrant,81,23,applied_ml,fine_atom_00,Recommendation Systems Engineer,Wysa,evaluated_ranking_system;shipper_with_evaluation_depth,BM25;BentoML;Computer Vision;Data Science;Elasticsearch;Embeddings;Feature Engineering;Figma;LangChain;LoRA;OpenSearch;PEFT;Qdrant;Recommendation Systems;Sentence Transformers;Snowflake;Statistical Modeling;Time Series;dbt,none,
59,CAND_0064904,6.329134,0.2733,embeddings:62.2;ml_depth:53.9;vector_hybrid_infrastructure:81.8,embeddings:Embeddings;ml_depth:Hugging Face Transformers;vector_hybrid_infrastructure:Elasticsearch,79,20,applied_ml,fine_atom_00,AI Engineer,LinkedIn,evaluated_ranking_system;shipper_with_evaluation_depth,Computer Vision;Diffusion Models;Elasticsearch;Embeddings;FastAPI;Forecasting;Hugging Face Transformers;LLMs;MLOps;OpenSearch;Prompt Engineering;Python;Recommendation Systems;TensorFlow;Vector Search;Weaviate,low,
60,CAND_0010257,6.328579,0.240017,python_engineering:51.8;vector_hybrid_infrastructure:90.5,python_engineering:Python;vector_hybrid_infrastructure:Milvus|OpenSearch,72,12,applied_ml,fine_atom_00,Senior Data Scientist,Google,evaluated_ranking_system;shipper_with_evaluation_depth,ASR;Feature Engineering;Forecasting;Image Classification;JavaScript;MLflow;Machine Learning;Milvus;OpenSearch;Python;Qdrant;Recommendation Systems;Rust;TensorFlow;pgvector,none,
61,CAND_0064270,6.328342,0.0,,,26,-35,applied_ml,fine_atom_00,Applied ML Engineer,Verloop.io,evaluated_ranking_system;shipper_with_evaluation_depth,Angular;BM25;BentoML;Elasticsearch;Embeddings;Haystack;Hugging Face Transformers;Kubeflow;Learning to Rank;LlamaIndex;Machine Learning;Microservices;OpenSearch;PEFT;PyTorch;React;Sentence Transformers;YOLO,low,
62,CAND_0043228,6.310193,0.1245,ml_depth:83,ml_depth:Hugging Face Transformers|NLP,56,-6,applied_ml,fine_atom_00,Applied ML Engineer,Zoho,evaluated_ranking_system,ASR;BigQuery;FastAPI;Haystack;Hugging Face Transformers;Image Classification;Kubeflow;Learning to Rank;Machine Learning;NLP;OpenSearch;React;Sentence Transformers;TTS;Vector Search;Weaviate;YOLO;pgvector,none,
63,CAND_0099806,6.309194,0.057,llm_finetuning:69,llm_finetuning:LoRA,41,-22,applied_ml,fine_atom_00,AI Engineer,Mad Street Den,evaluated_ranking_system;shipper_with_evaluation_depth,Agile;BM25;Elasticsearch;Embeddings;FAISS;LoRA;OpenCV;Prompt Engineering;Qdrant;RAG;Reinforcement Learning;Sentence Transformers;Speech Recognition;Statistical Modeling;Time Series;Weaviate;dbt;pgvector,low,
64,CAND_0032807,6.30407,0.35805,python_engineering:79.4;vector_hybrid_infrastructure:88.9,python_engineering:scikit-learn;vector_hybrid_infrastructure:OpenSearch,,,applied_ml,fine_atom_00,Machine Learning Engineer,CRED,production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,Content Writing;Data Science;Deep Learning;Fine-tuning LLMs;GANs;Hugging Face Transformers;LLMs;LangChain;LoRA;Marketing;Milvus;Object Detection;OpenCV;OpenSearch;Python;Sentence Transformers;TTS;scikit-learn,low,
65,CAND_0011162,6.299817,0.0,,,33,-32,applied_ml,fine_atom_00,Recommendation Systems Engineer,upGrad,evaluated_ranking_system;shipper_with_evaluation_depth,CNN;Django;Embeddings;FAISS;Kubeflow;LangChain;LoRA;Milvus;OpenSearch;PEFT;Pinecone;Python;Sentence Transformers;Vector Search;Weaviate;Weights & Biases;gRPC,low,
66,CAND_0065195,6.296763,0.0,,,35,-31,applied_ml,fine_atom_00,Search Engineer,CRED,production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,BentoML;Diffusion Models;Django;Elasticsearch;Hugging Face Transformers;LLMs;Learning to Rank;LlamaIndex;MLOps;QLoRA;Qdrant;pgvector;scikit-learn,low,
67,CAND_0030031,6.293664,0.07955,ml_depth:63.5;python_engineering:53.9;retrieval_search:53.7,ml_depth:NLP;python_engineering:Python;retrieval_search:Information Retrieval,49,-18,applied_ml,fine_atom_00,AI Engineer,Microsoft,evaluated_ranking_system;shipper_with_evaluation_depth,BM25;Information Retrieval;LoRA;Milvus;NLP;Object Detection;OpenCV;PyTorch;Python;QLoRA;RAG;Sentence Transformers;Time Series;Vector Search;YOLO;scikit-learn,low,
68,CAND_0030348,6.284658,0.0,,,37,-31,applied_ml,fine_atom_00,Machine Learning Engineer,BYJU'S,evaluated_ranking_system;shipper_with_evaluation_depth,Deep Learning;Elasticsearch;Embeddings;GANs;Haystack;LlamaIndex;MLOps;Marketing;OpenCV;PyTorch;Python;Redis;Spring Boot;TTS;Vector Search;pgvector,low,
69,CAND_0005649,6.280074,0.0,,,38,-31,applied_ml,fine_atom_00,Senior Data Scientist,Sarvam AI,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,Deep Learning;Fine-tuning LLMs;Haystack;Information Retrieval;Kubeflow;Microservices;Object Detection;OpenCV;Prompt Engineering;QLoRA;RAG;Recommendation Systems;Redis;Semantic Search;TensorFlow;Weaviate;scikit-learn,none,
70,CAND_0069905,6.27951,0.0678,llm_finetuning:71.3,llm_finetuning:LoRA,51,-19,applied_ml,fine_atom_00,Applied ML Engineer,Sarvam AI,production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,Computer Vision;Flask;Forecasting;Hugging Face Transformers;Image Classification;LangChain;Learning to Rank;LoRA;MLOps;Object Detection;Python;Recommendation Systems;Redux;Sentence Transformers;Speech Recognition;TensorFlow;Weaviate,none,
71,CAND_0024466,6.270279,0.282,ranking_recommendation_matching:75;retrieval_search:74.7,ranking_recommendation_matching:Recommendation Systems;retrieval_search:BM25,99,28,applied_ml,fine_atom_00,Search Engineer,PharmEasy,evaluated_ranking_system;shipper_with_evaluation_depth,BM25;CI/CD;Computer Vision;Fine-tuning LLMs;Forecasting;Image Classification;LLMs;LoRA;MLOps;NLP;PEFT;Pinecone;PyTorch;Recommendation Systems;Reinforcement Learning;Sentence Transformers;Weights & Biases;pgvector,low,
72,CAND_0070398,6.26761,0.212,retrieval_search:84.8,retrieval_search:BM25|RAG,85,13,applied_ml,fine_atom_00,Machine Learning Engineer,Genpact AI,evaluated_ranking_system;shipper_with_evaluation_depth,BM25;Data Science;Embeddings;FAISS;Fine-tuning LLMs;Image Classification;Information Retrieval;Learning to Rank;LoRA;Object Detection;PyTorch;Python;RAG;Recommendation Systems;Reinforcement Learning;pgvector,none,
73,CAND_0050876,6.260548,0.22015,ml_depth:55.8;vector_hybrid_infrastructure:81.1,ml_depth:MLOps;vector_hybrid_infrastructure:FAISS|Qdrant,88,15,applied_ml,fine_atom_00,Applied ML Engineer,Freshworks,evaluated_ranking_system;shipper_with_evaluation_depth,FAISS;Forecasting;Image Classification;Kubeflow;LlamaIndex;MLOps;Machine Learning;OpenSearch;Prompt Engineering;PyTorch;Python;QLoRA;Qdrant;SQL;Sentence Transformers;Weights & Biases;YOLO;scikit-learn,none,
74,CAND_0096172,6.257012,0.0,,,44,-30,applied_ml,fine_atom_00,NLP Engineer,Krutrim,evaluated_ranking_system;shipper_with_evaluation_depth,CNN;Elasticsearch;Fine-tuning LLMs;Forecasting;GraphQL;Haystack;Hugging Face Transformers;LangChain;OpenSearch;Python;Qdrant;RAG;Semantic Search;Sentence Transformers;Time Series,none,
75,CAND_0089552,6.252607,0.263,retrieval_search:67;vector_hybrid_infrastructure:77.8,retrieval_search:Semantic Search|Vector Search;vector_hybrid_infrastructure:Qdrant|Vector Search|Weaviate,100,25,applied_ml,fine_atom_00,Machine Learning Engineer,Netflix,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,BM25;Feature Engineering;Fine-tuning LLMs;Forecasting;GANs;Hugging Face Transformers;Image Classification;Machine Learning;Milvus;Next.js;Qdrant;SAP;Semantic Search;Sentence Transformers;TTS;TensorFlow;Time Series;Vector Search;Weaviate,none,
76,CAND_0031593,6.251716,0.0,,,47,-29,applied_ml,fine_atom_00,Search Engineer,Genpact AI,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,ASR;BM25;BentoML;CNN;Elasticsearch;Embeddings;GCP;HTML;Haystack;Hugging Face Transformers;Java;LangChain;OpenCV;Recommendation Systems;Statistical Modeling;Weights & Biases,none,
77,CAND_0000031,6.250064,0.092,vector_hybrid_infrastructure:68.4,vector_hybrid_infrastructure:FAISS|Pinecone,60,-17,applied_ml,fine_atom_00,Recommendation Systems Engineer,Swiggy,evaluated_ranking_system;shipper_with_evaluation_depth,Angular;BentoML;Embeddings;FAISS;Feature Engineering;Go;Hugging Face Transformers;Image Classification;Information Retrieval;MLOps;MLflow;Machine Learning;Marketing;Pinecone;Sentence Transformers;Speech Recognition;scikit-learn,none,
78,CAND_0092245,6.238473,0.0819,embeddings:68.2,embeddings:Embeddings,62,-16,applied_ml,fine_atom_00,Senior Data Scientist,Ola,evaluated_ranking_system;shipper_with_evaluation_depth,Airflow;Content Writing;Data Science;Elasticsearch;Embeddings;FAISS;Fine-tuning LLMs;Forecasting;GANs;Hugging Face Transformers;Kafka;LlamaIndex;NLP;Qdrant;RAG;Statistical Modeling;Vector Search,low,
79,CAND_0081053,6.236761,0.1332,llm_finetuning:88.8,llm_finetuning:LoRA|QLoRA,77,-2,applied_ml,fine_atom_00,NLP Engineer,Glance,evaluated_ranking_system;shipper_with_evaluation_depth,Diffusion Models;Haystack;Image Classification;Learning to Rank;LoRA;Machine Learning;Object Detection;OpenCV;OpenSearch;QLoRA;Qdrant;Semantic Search;Speech Recognition;Weaviate;Webpack;pgvector;scikit-learn,none,
80,CAND_0066376,6.221968,0.2046,llm_finetuning:81.8;ranking_recommendation_matching:68.2,llm_finetuning:LoRA;ranking_recommendation_matching:Recommendation Systems,97,17,applied_ml,fine_atom_00,Applied ML Engineer,Dream11,evaluated_ranking_system;shipper_with_evaluation_depth,BM25;CNN;Deep Learning;FAISS;Fine-tuning LLMs;Information Retrieval;LLMs;Learning to Rank;LlamaIndex;LoRA;NLP;Object Detection;PowerPoint;Recommendation Systems;Reinforcement Learning;Semantic Search;Time Series,low,
81,CAND_0006557,6.210358,0.2055,ml_depth:64.5;vector_hybrid_infrastructure:76.2,ml_depth:Kubeflow;vector_hybrid_infrastructure:Elasticsearch|OpenSearch,,,applied_ml,fine_atom_00,NLP Engineer,Paytm,evaluated_ranking_system;shipper_with_evaluation_depth,Agile;Data Science;Databricks;Elasticsearch;FAISS;Hugging Face Transformers;Information Retrieval;Kubeflow;LangChain;LlamaIndex;LoRA;OpenCV;OpenSearch;Pinecone;Qdrant;Vector Search;Vue.js;Weaviate,none,
82,CAND_0057563,6.206412,0.1209,ml_depth:80.6,ml_depth:Deep Learning,83,1,applied_ml,fine_atom_00,NLP Engineer,Locobuzz,evaluated_ranking_system;shipper_with_evaluation_depth,Deep Learning;Elasticsearch;Feature Engineering;Forecasting;Hugging Face Transformers;Machine Learning;OpenSearch;Prompt Engineering;QLoRA;RAG;Rust;SQL;Speech Recognition;Time Series,none,
83,CAND_0076831,6.196455,0.31475,retrieval_search:91.3;vector_hybrid_infrastructure:67.3,retrieval_search:BM25;vector_hybrid_infrastructure:Milvus,,,applied_ml,fine_atom_00,Search Engineer,Krutrim,evaluated_ranking_system;shipper_with_evaluation_depth,BM25;Fine-tuning LLMs;Forecasting;Kafka;LLMs;LlamaIndex;MLOps;Milvus;NLP;Project Management;PyTorch;Reinforcement Learning;SEO;TTS;Weaviate;YOLO,low,
84,CAND_0009837,6.191743,0.1428,python_engineering:81.6,python_engineering:scikit-learn,91,7,applied_ml,fine_atom_00,Senior Data Scientist,Rephrase.ai,evaluated_ranking_system;shipper_with_evaluation_depth,Computer Vision;FAISS;Haystack;Image Classification;LLMs;LangChain;Learning to Rank;PyTorch;Python;QLoRA;Qdrant;REST APIs;Six Sigma;Speech Recognition;TensorFlow;scikit-learn,low,
85,CAND_0026532,6.190305,0.0133,llm_finetuning:53.3,llm_finetuning:LoRA,61,-24,applied_ml,fine_atom_00,Recommendation Systems Engineer,Zomato,evaluated_ranking_system;shipper_with_evaluation_depth,BentoML;Embeddings;Excel;FAISS;Feature Engineering;Information Retrieval;LoRA;Milvus;PEFT;Pinecone;Prompt Engineering;Semantic Search;TTS;Time Series;TypeScript;pgvector,none,
86,CAND_0058688,6.185586,0.05845,python_engineering:66.7,python_engineering:scikit-learn,74,-12,applied_ml,fine_atom_00,AI Engineer,Vedantu,evaluated_ranking_system;shipper_with_evaluation_depth,CNN;Computer Vision;Diffusion Models;Embeddings;Image Classification;Information Retrieval;LlamaIndex;Machine Learning;Milvus;Object Detection;OpenCV;PostgreSQL;QLoRA;Semantic Search;Snowflake;TensorFlow;scikit-learn,none,
87,CAND_0032515,6.179632,0.259,retrieval_search:71.6;vector_hybrid_infrastructure:74.3,retrieval_search:Vector Search;vector_hybrid_infrastructure:Milvus|Vector Search,,,applied_ml,fine_atom_00,Machine Learning Engineer,PharmEasy,evaluated_ranking_system;shipper_with_evaluation_depth,BentoML;Deep Learning;ETL;Elasticsearch;Fine-tuning LLMs;MLflow;Machine Learning;Milvus;NLP;OpenCV;PyTorch;QLoRA;Salesforce CRM;Semantic Search;Vector Search,low,
88,CAND_0036437,6.178362,0.203,vector_hybrid_infrastructure:81.2,vector_hybrid_infrastructure:Elasticsearch|OpenSearch,,,applied_ml,fine_atom_00,Search Engineer,Rephrase.ai,evaluated_ranking_system,Accounting;Elasticsearch;FAISS;Feature Engineering;GANs;Go;Kubeflow;Milvus;OpenSearch;Sentence Transformers;Vector Search;Weaviate,low,
89,CAND_0099401,6.173552,0.0,,,64,-25,applied_ml,fine_atom_00,NLP Engineer,Dream11,evaluated_ranking_system;shipper_with_evaluation_depth,ASR;BM25;Deep Learning;Embeddings;GANs;Haystack;Information Retrieval;LlamaIndex;Photoshop;Python;Qdrant;Reinforcement Learning;Semantic Search;scikit-learn,none,
90,CAND_0074735,6.170253,0.089,retrieval_search:67.8,retrieval_search:RAG,86,-4,applied_ml,fine_atom_00,Applied ML Engineer,Rephrase.ai,production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,ASR;BentoML;Elasticsearch;GANs;Hadoop;Information Retrieval;Kubeflow;Learning to Rank;LlamaIndex;Machine Learning;Object Detection;Project Management;Prompt Engineering;RAG;Semantic Search;TensorFlow;TypeScript;Vector Search;Weaviate;YOLO,none,
91,CAND_0013536,6.169463,0.0,,,66,-25,applied_ml,fine_atom_00,Applied ML Engineer,Haptik,evaluated_ranking_system;shipper_with_evaluation_depth,Computer Vision;Content Writing;Elasticsearch;Embeddings;FAISS;Hadoop;Image Classification;LLMs;LlamaIndex;MLOps;Milvus;NLP;Pinecone;Prompt Engineering;PyTorch;QLoRA;Vector Search;Weights & Biases,low,
92,CAND_0044222,6.165473,0.041333,retrieval_search:52.4;vector_hybrid_infrastructure:52.4,retrieval_search:Vector Search;vector_hybrid_infrastructure:Vector Search,78,-14,applied_ml,fine_atom_00,AI Engineer,PolicyBazaar,evaluated_ranking_system;shipper_with_evaluation_depth,ASR;BM25;Content Writing;Deep Learning;Diffusion Models;Feature Engineering;Fine-tuning LLMs;Hadoop;Hugging Face Transformers;Java;LangChain;LlamaIndex;NLP;OpenSearch;QLoRA;Qdrant;Time Series;Vector Search;Weaviate,none,
93,CAND_0091909,6.160408,0.0,,,69,-24,applied_ml,fine_atom_00,Machine Learning Engineer,Rephrase.ai,evaluated_ranking_system;shipper_with_evaluation_depth,BentoML;Diffusion Models;Hugging Face Transformers;Image Classification;LLMs;LangChain;Learning to Rank;MLflow;OpenSearch;Pinecone;QLoRA;Qdrant;Sentence Transformers;scikit-learn,none,
94,CAND_0066999,6.159109,0.22575,vector_hybrid_infrastructure:90.3,vector_hybrid_infrastructure:FAISS|OpenSearch|Pinecone,,,applied_ml,fine_atom_00,Recommendation Systems Engineer,Microsoft,evaluated_ranking_system,ASR;BM25;CNN;Embeddings;Excel;FAISS;Image Classification;Information Retrieval;JavaScript;LLMs;Machine Learning;Node.js;OpenSearch;Pinecone;Statistical Modeling,none,
95,CAND_0081852,6.15739,0.0,,,70,-25,applied_ml,fine_atom_00,Senior Data Scientist,Mad Street Den,production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,BentoML;CNN;Computer Vision;Haystack;LoRA;MLOps;Milvus;Salesforce CRM;Semantic Search;Speech Recognition;TTS;Vector Search;Weaviate;pgvector,none,
96,CAND_0083307,6.154662,0.0,,,71,-25,applied_ml,fine_atom_00,Search Engineer,CRED,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,Data Science;Deep Learning;Embeddings;GCP;Image Classification;Learning to Rank;MLflow;OpenCV;PEFT;Pinecone;Python;QLoRA;Semantic Search;Vector Search;Weaviate;Weights & Biases;pgvector;scikit-learn,none,
97,CAND_0054394,6.148725,0.0,,,73,-24,applied_ml,fine_atom_00,Recommendation Systems Engineer,PharmEasy,evaluated_ranking_system,ASR;Data Science;Embeddings;Fine-tuning LLMs;Forecasting;Haystack;Hugging Face Transformers;Java;MLflow;Machine Learning;Next.js;Node.js;Pinecone;Prompt Engineering;Time Series;scikit-learn,low,
98,CAND_0087364,6.138035,0.2403,ml_depth:67.1;vector_hybrid_infrastructure:78.9,ml_depth:Deep Learning;vector_hybrid_infrastructure:Milvus|Qdrant,,,applied_ml,fine_atom_00,Recommendation Systems Engineer,Glance,evaluated_ranking_system;shipper_with_evaluation_depth,Data Science;Deep Learning;Diffusion Models;Docker;Elasticsearch;LlamaIndex;Milvus;Object Detection;OpenSearch;Pinecone;Qdrant;RAG;Speech Recognition;Time Series;TypeScript;scikit-learn,low,
99,CAND_0078042,6.137683,0.12825,embeddings:55.3;ml_depth:55.3;vector_hybrid_infrastructure:67.7,embeddings:Sentence Transformers;ml_depth:Sentence Transformers;vector_hybrid_infrastructure:OpenSearch,,,applied_ml,fine_atom_00,Applied ML Engineer,PolicyBazaar,evaluated_ranking_system;shipper_with_evaluation_depth,CNN;Diffusion Models;Figma;NLP;Object Detection;OpenCV;OpenSearch;Pinecone;PyTorch;QLoRA;Semantic Search;Sentence Transformers;TTS;Tally,low,
100,CAND_0076904,6.137364,0.05595,llm_finetuning:55;ml_depth:57.5;ranking_recommendation_matching:52.3,llm_finetuning:PEFT;ml_depth:Deep Learning;ranking_recommendation_matching:Recommendation Systems,89,-11,applied_ml,fine_atom_00,Senior Data Scientist,Nykaa,evaluated_ranking_system,ASR;BentoML;CNN;Deep Learning;GANs;Hugging Face Transformers;Information Retrieval;LLMs;MLOps;Machine Learning;NLP;OpenSearch;PEFT;Recommendation Systems;Speech Recognition;Vector Search;Weaviate;scikit-learn,low,
